timestamp_kst,equity,daily_pnl,total_pnl,unrealized,cum_pnl_with_unrealized,position_count,long_count,short_count,seed_used_pct,seed_used,mdd,current_dd,source_ts
2026-04-25 22:18:49,83122.4,206.34,3122.4,-266.8,2855.6,15,8,7,16.49,13710.74,-10.32,-0.04,2026-04-25T22:18:04.662333+09:00
2026-04-25 22:32:45,83161.64,206.34,3161.64,-227.27,2934.37,15,8,7,17.16,14273.43,-10.32,-0.04,2026-04-25T22:31:24.499145+09:00
2026-04-25 23:37:06,83191.38,206.34,3191.38,-196.35,3191.38,15,8,7,17.8,14805.75,-10.32,0.0,2026-04-25T23:35:52.998975+09:00
2026-04-26 00:33:31,83246.52,-0.67,3246.52,-143.31,3246.52,16,10,6,18.92,15748.58,-10.32,0.0,2026-04-26T00:32:14.877205+09:00
2026-04-26 01:32:45,83132.7,-0.67,3132.7,-260.1,3132.7,16,10,6,19.99,16618.71,-10.32,-0.13,2026-04-26T01:31:41.348602+09:00
2026-04-26 02:32:14,83024.9,-0.67,3024.9,-362.9,3024.9,16,10,6,23.13,19200.66,-10.32,-0.16,2026-04-26T02:31:08.017267+09:00
2026-04-26 03:38:33,83228.46,-0.67,3228.46,-156.75,3228.46,16,10,6,23.11,19232.88,-10.32,-0.07,2026-04-26T03:37:44.768180+09:00
2026-04-26 04:39:08,83106.17,56.35,3106.17,-334.93,3106.17,16,10,6,22.44,18648.14,-10.32,-0.18,2026-04-26T04:38:13.669944+09:00
2026-04-26 05:30:29,83136.44,56.35,3136.44,-302.88,3136.44,16,10,6,22.45,18666.01,-10.32,-0.13,2026-04-26T05:29:27.997586+09:00
2026-04-26 06:29:34,83469.29,182.82,3469.29,-97.57,3469.29,16,10,6,20.13,16804.62,-10.32,0.0,2026-04-26T06:28:53.680666+09:00
2026-04-26 07:28:06,83456.92,199.47,3456.92,-125.93,3456.92,17,10,7,20.0,16694.22,-10.32,-0.04,2026-04-26T07:27:18.586894+09:00
2026-04-26 08:30:18,83435.16,128.14,3435.16,-79.48,3435.16,16,8,8,17.95,14975.4,-10.32,-0.06,2026-04-26T08:28:48.584629+09:00
2026-04-26 10:58:11,83363.96,199.59,3363.96,-219.48,3363.96,18,12,6,18.6,15505.6,-10.32,-0.14,2026-04-26T10:57:34.143934+09:00
2026-04-26 14:12:13,83421.48,199.59,3421.48,-159.71,3421.48,19,12,7,22.41,18691.39,-10.32,-0.08,2026-04-26T14:11:34.206106+09:00
2026-04-26 16:18:10,83291.44,134.46,3291.44,-228.38,3291.44,19,12,7,22.3,18575.03,-10.32,-0.23,2026-04-26T16:16:48.843912+09:00
2026-04-26 17:51:24,83402.76,186.02,3402.76,-166.99,3402.76,18,11,7,20.82,17361.58,-10.32,-0.1,2026-04-26T17:50:13.646339+09:00
2026-04-26 18:45:45,83416.76,186.02,3416.76,-148.38,3416.76,18,11,7,22.18,18501.83,-10.32,-0.16,2026-04-26T18:44:36.817132+09:00
2026-04-26 19:38:23,83449.69,186.02,3449.69,-124.48,3449.69,18,11,7,22.52,18792.0,-10.32,-0.05,2026-04-26T19:36:57.960441+09:00
2026-04-26 20:34:09,83528.15,395.84,3528.15,-264.64,3528.15,17,10,7,20.52,17143.58,-10.32,0.0,2026-04-26T20:33:24.856728+09:00
2026-04-26 21:46:12,83650.36,478.85,3650.36,-215.12,3650.36,17,10,7,20.75,17360.56,-10.32,-0.01,2026-04-26T21:45:13.506171+09:00
2026-04-26 23:00:37,83635.24,415.34,3635.24,-169.42,3635.24,16,9,7,19.8,16557.42,-10.32,0.0,2026-04-26T22:59:02.968901+09:00
2026-04-27 00:35:58,83615.84,0,3615.84,-181.02,3615.84,16,9,7,19.87,16611.21,-10.32,-0.05,2026-04-27T00:35:25.657785+09:00
2026-04-27 01:33:59,83671.66,0,3671.66,-135.79,3671.66,16,9,7,19.85,16612.29,-10.32,-0.01,2026-04-27T01:32:49.720353+09:00
2026-04-27 02:32:39,83712.34,29.64,3712.34,-123.56,3712.34,16,9,7,18.97,15880.97,-10.32,-0.04,2026-04-27T02:31:15.305052+09:00
2026-04-27 03:40:01,83727.11,70.74,3727.11,-155.89,3727.11,15,7,8,17.75,14862.45,-10.32,-0.05,2026-04-27T03:38:55.286297+09:00
2026-04-27 04:40:23,83731.05,70.74,3731.05,-150.63,3731.05,16,8,8,19.21,16082.16,-10.32,-0.04,2026-04-27T04:39:24.659776+09:00
2026-04-27 05:30:27,83746.83,162.67,3746.83,-234.05,3746.83,17,10,7,18.6,15573.58,-10.32,-0.07,2026-04-27T05:29:38.841184+09:00
2026-04-27 06:30:48,83750.25,162.67,3750.25,-227.49,3750.25,18,11,7,19.21,16085.0,-10.32,-0.07,2026-04-27T06:30:11.504333+09:00
2026-04-27 07:29:54,83692.37,179.84,3692.37,-301.92,3692.37,18,11,7,19.97,16713.29,-10.32,-0.24,2026-04-27T07:28:40.620767+09:00
2026-04-27 08:31:50,83780.06,195.85,3780.06,-220.49,3780.06,18,10,8,20.05,16800.03,-10.32,-0.21,2026-04-27T08:30:14.323569+09:00
2026-04-27 11:01:06,83248.2,217.07,3248.2,-774.56,3248.2,17,9,8,19.81,16488.86,-10.32,-0.67,2026-04-27T11:00:03.608439+09:00
